T4,T4_avg,I4,x,T,T_avg,I_exp,I_thr,e
2.3188,2.3208,0.004213972347809389,5.0,2.6745,2.6765333333333334,0.0013908462711783674,0.0012734000000000003,9.223046268129972
2.3007,,,10.0,2.6475,3.4044333333333334,0.004853910863722163,0.004850900000000001,0.06206814657407572
2.3429,,,15.0,2.7076,4.379766666666666,0.010793867885413595,0.010813399999999999,0.18062879932679632
,,,20.0,3.3995,5.471433333333334,0.019207730874251445,0.0191609,0.24440853118299896
,,,25.0,3.4007,6.597833333333334,0.029844011193301392,0.029893399999999997,0.1652164246910845
,,,,3.4131,,,,
,,,,4.3758,,,,
,,,,4.3819,,,,
,,,,4.3816,,,,
,,,,5.4744,,,,
,,,,5.469,,,,
,,,,5.4709,,,,
,,,,6.6035,,,,
,,,,6.5914,,,,
,,,,6.5986,,,,
,,,,,,,,
